Label,Description,Component Type,Codelist
buoy_id,,Dimension,http://www.opengovintelligence.eu/statistics/marine-institute/concept-scheme/buoy_id
time (UTC),,Dimension,http://www.opengovintelligence.eu/statistics/marine-institute/concept-scheme/time
latitude (degrees_north),,Dimension,http://www.opengovintelligence.eu/statistics/marine-institute/concept-scheme/latitude
longitude (degrees_east),,Dimension,http://www.opengovintelligence.eu/statistics/marine-institute/concept-scheme/station_id/longitude
station_id,,Dimension,http://www.opengovintelligence.eu/statistics/marine-institute/concept-scheme/station_id
Hmax (m),,Measure,
HmaxPeriod (s),,Measure,
Havg (m),,Measure,
Tavg (s),,Measure,
qcflag,,Measure,
